*******************************
  /mnt/c/Users/montb/AppData/LocalLow/VRChat/VRChat/output_log_2024-02-29_01-05-27.txt
*******************************
2024.04.20 20:38:08 Video	'https://youtu.be/SFzS3eTkoew?si=EijPPzWCyD4q8Yi3'
2024.04.20 20:38:14 Enter	wrld_531e2ed0-cabe-43d7-ba82-b6933923a36b:62963~friends(usr_75b556cc-f123-44c5-8409-15974da68e89)~region(jp)
2024.04.20 20:38:23 In >>	taityan72
2024.04.20 20:38:23 In >>	しろくま。
2024.04.20 20:38:23 In >>	シェリル（Cheryl_MC）
2024.04.20 20:38:23 In >>	Starcat_JP
2024.04.20 20:38:23 In >>	もん ／ Montblanc
2024.04.20 20:38:23 Video	'https://www.youtube.com/watch?v=ALe7wFWXFuE'
2024.04.20 20:42:07 Video	'https://www.youtube.com/watch?v=Jit8-iNSx3A'
2024.04.20 20:47:58 Video	'https://www.youtube.com/watch?v=Yqbl2QIYDPg'
2024.04.20 20:52:04 Video	'https://www.youtube.com/watch?v=NW0PxVi1Qfw'
2024.04.20 20:59:47 Video	'https://www.youtube.com/watch?v=Xu1Z3ZIZ0EU'
2024.04.20 21:10:34 Video	'https://www.youtube.com/watch?v=wSPkN2XERco'
2024.04.20 21:27:25 Video	'https://www.youtube.com/watch?v=jGGmSIoXlsY'
